Movie,Year,Runtime,Actor,Actor 2,Actor 3,Actor 4,Director,Genre1,Genre2,Genre3,IMDb,RT,Created
Friday Night Lights,2004,118,Billy Bob Thornton,Jay Hernandez,Derek Luke,Lucas Black,Peter Berg,Action, Drama, Sport,7.2,82.0,2024-01-04
Bullet Train,2022,127,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,David Leitch,Action, Comedy, Thriller,7.3,69.63468634686348,2024-05-19
Braveheart,1995,178,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,Mel Gibson,Biography, Drama, War,8.3,78.0,2022-06-06
22 Jump Street,2014,112,Channing Tatum,Jonah Hill,Ice Cube,Unknown,Phil Lord,Action, Comedy, Crime,7.0,85.0,2022-06-09
Ted 2,2015,115,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Unknown,Seth MacFarlane,Comedy,Unknown,Unknown,6.3,45.0,2022-06-09
Daddy's Home 2,2017,100,Will Ferrell,Mark Wahlberg,Mel Gibson,Unknown,Sean Anders,Comedy,Unknown,Unknown,6.0,21.0,2022-06-09
Bruce Almighty,2003,101,Jim Carrey,Jennifer Aniston,Morgan Freeman,Unknown,Tom Shadyac,Comedy, Fantasy,Unknown,6.8,48.0,2022-06-09
The Matrix,1999,136,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Unknown,Lana Wachowski,Action, Sci-Fi,Unknown,8.7,88.0,2022-06-10
Troy,2004,163,Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover,Wolfgang Petersen,Action, Adventure, Drama,7.3,54.0,2022-06-29
Blood Diamond,2006,143,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,Edward Zwick,Adventure, Drama, Thriller,8.0,63.0,2022-06-29
The Green Mile,1999,189,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,Frank Darabont,Crime, Drama, Fantasy,8.6,78.0,2022-06-29
Casablanca,1942,102,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Michael Curtiz,Drama, Romance, War,8.5,99.0,2022-06-29
Half Baked,1998,82,Dave Chappelle,Guillermo Diaz,Jim Breuer,Unknown,Tamra Davis,Comedy, Crime,Unknown,6.6,29.0,2022-06-29
300,2006,117,Gerard Butler,Lena Headey,David Wenham,Dominic West,Zack Snyder,Action, Drama,Unknown,7.6,61.0,2022-06-29
Long Shot,2019,125,Charlize Theron,Seth Rogan,June Diane Raphael,Unknown,Jonathan Levine,Comedy, Romance,Unknown,6.8,81.0,2022-06-29
Wild Hogs,2007,100,Tim Allen,Martin Lawrence,John Travolta,Unknown,Walt Becker,Action, Adventure, Comedy,5.9,14.0,2022-06-29
Blades of Glory,2007,93,Will Ferrell,Jon Heder,Amy Poehler,Unknown,Josh Gordon,Comedy, Sport,Unknown,6.3,70.0,2022-06-29
Eyes Wide Shut,1999,159,Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack,Stanley Kubrick,Drama, Mystery, Thriller,7.5,75.0,2022-06-29
Tropic Thunder,2008,107,Ben Stiller,Jack Black,Robert Downey Jr.,Unknown,Ben Stiller,Action, Comedy, War,7.1,82.0,2022-06-29
Cocktail,1988,104,Tom Cruise,Byran Brown,Elisabeth Shue,Unknown,Roger Donaldson,Comedy, Drama, Romance,5.9,60.0,2022-06-29
Blow,2001,124,Johnny Depp,Penelope Cruz,Franka Potente,Rachel Griffiths,Ted Demme,Biography, Crime, Drama,7.5,55.0,2022-06-29
King Richard,2021,144,Will Smith,Aunjanue Ellis-Taylor,Jon Bernthal,Saniyya Sidney,Reinaldo Marcus Green,Biography, Drama, Sport,7.5,69.63468634686348,2022-06-29
American Underdog,2021,112,Zachary Levi,Anna Paquin,Hayden Zallar,Unknown,Andrew Erwin,Biography, Drama, Romance,7.1,69.63468634686348,2022-06-29
Invincible,2006,105,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,Unknown,Ericson Core,Biography, Drama, Sport,7.0,72.0,2022-06-29
Hoosiers,1986,114,Gene Hackman,Barbara Hershey,Dennis Hopper,Sheb Wooley,David Anspaugh,Drama, Sport,Unknown,7.4,89.0,2022-06-29
42,2013,128,Chadwick Boseman,T.R. Knight,Harrison Ford,Nicole Beharie,Brian Helgeland,Biography, Drama, Sport,7.5,80.0,2022-06-29
Little Miss Sunshine,2006,101,Steve Carell,Toni Collette,Greg Kinnear,Unknown,Jonathan Dayton,Comedy, Drama,Unknown,7.8,91.0,2022-06-29
Cheaper by the Dozen,2003,98,Steve Martin,Bonnie Hunt,Hilary Duff,Unknown,Shawn Levy,Comedy, Family,Unknown,5.9,80.0,2022-06-29
Dr. Dolittle 3,2006,93,Kristen Wilson,Tara Wilson,Kyla Pratt,Unknown,Rich Thorne,Comedy, Family, Fantasy,4.0,69.63468634686348,2022-06-29
