Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt2382320,7,1/23/2026,No Time to Die,No Time to Die,https://www.imdb.com/title/tt2382320,Movie,7.3,163,2021,"Action, Thriller, Adventure",479914,10/8/2021,Cary Joji Fukunaga
tt0416449,7,1/23/2026,300,300,https://www.imdb.com/title/tt0416449,Movie,7.6,117,2006,"Action, Drama",906017,3/9/2007,Zack Snyder
tt0112573,9,1/22/2026,Braveheart,Braveheart,https://www.imdb.com/title/tt0112573,Movie,8.3,178,1995,"Biography, Drama, War",1152078,5/24/1995,Mel Gibson
tt0454945,1,1/19/2026,She's the Man,She's the Man,https://www.imdb.com/title/tt0454945,Movie,6.4,105,2006,"Comedy, Romance, Sport",190284,3/17/2006,Andy Fickman
tt1531663,1,1/19/2026,Everything Must Go,Everything Must Go,https://www.imdb.com/title/tt1531663,Movie,6.4,97,2010,"Drama, Comedy",54974,10/14/2011,Dan Rush
tt0839980,1,1/19/2026,Semi-Pro,Semi-Pro,https://www.imdb.com/title/tt0839980,Movie,5.8,91,2008,"Comedy, Sport",88958,2/29/2008,Kent Alterman
tt1564367,2,1/19/2026,Just Go with It,Just Go with It,https://www.imdb.com/title/tt1564367,Movie,6.4,117,2011,"Comedy, Romance",286167,2/11/2011,Dennis Dugan
tt0076723,2,1/19/2026,Slap Shot,Slap Shot,https://www.imdb.com/title/tt0076723,Movie,7.2,123,1977,"Drama, Sport, Comedy",44493,2/25/1977,George Roy Hill
tt1528854,2,1/19/2026,Daddy's Home,Daddy's Home,https://www.imdb.com/title/tt1528854,Movie,6.2,96,2015,"Comedy, Family",138139,12/25/2015,Sean Anders
tt0120484,2,1/19/2026,The Waterboy,The Waterboy,https://www.imdb.com/title/tt0120484,Movie,6.2,90,1998,"Sport, Comedy",190336,11/6/1998,Frank Coraci
tt1130884,3,1/19/2026,Shutter Island,Shutter Island,https://www.imdb.com/title/tt1130884,Movie,8.2,138,2010,"Thriller, Mystery, Drama",1615797,2/19/2010,Martin Scorsese
tt0409459,3,1/19/2026,Watchmen,Watchmen,https://www.imdb.com/title/tt0409459,Movie,7.6,162,2009,"Sci-Fi, Action, Mystery, Drama",607457,3/6/2009,Zack Snyder
tt2170593,3,1/19/2026,St. Vincent,St. Vincent,https://www.imdb.com/title/tt2170593,Movie,7.2,102,2014,"Comedy, Drama",112747,10/24/2014,Theodore Melfi
tt0044081,3,1/19/2026,A Streetcar Named Desire,A Streetcar Named Desire,https://www.imdb.com/title/tt0044081,Movie,7.9,122,1951,Drama,119294,9/19/1951,Elia Kazan
tt0081398,4,1/19/2026,Raging Bull,Raging Bull,https://www.imdb.com/title/tt0081398,Movie,8.1,129,1980,"Sport, Biography, Drama",406317,12/19/1980,Martin Scorsese
tt2671706,4,1/19/2026,Fences,Fences,https://www.imdb.com/title/tt2671706,Movie,7.2,139,2016,Drama,124479,12/25/2016,Denzel Washington
tt1160419,4,1/19/2026,Dune: Part One,Dune: Part One,https://www.imdb.com/title/tt1160419,Movie,8,155,2021,"Sci-Fi, Adventure, Drama, Action",1018593,10/22/2021,Denis Villeneuve
tt0108358,4,1/19/2026,Tombstone,Tombstone,https://www.imdb.com/title/tt0108358,Movie,7.8,130,1993,"History, Biography, Drama, Western",188988,12/25/1993,George P. Cosmatos
tt0075314,4,1/19/2026,Taxi Driver,Taxi Driver,https://www.imdb.com/title/tt0075314,Movie,8.2,114,1976,"Crime, Drama",1013018,2/9/1976,Martin Scorsese
tt13287846,4,1/19/2026,Napoleon,Napoleon,https://www.imdb.com/title/tt13287846,Movie,6.3,158,2023,"Biography, Action, Drama, War, Adventure, History",182867,11/22/2023,Ridley Scott
